Material,SALDO,C Promedio S/.,COSTO,C Promedio US$,PRECIO PUBLICO
SIKASIL-AC TRANSPARENTE DE 300ML SIKA                                                               ,-1,0.00,S/ 0.00,0.00,
SILICONA MULTIUSOS                                                ,-2,0.00,S/ 3.50,0.00,
SILICONA BLANCA 300ML WEBER                                                                         ,11,6.25,S/ 7.37,1.98,
SILICONA TRANSPARENTE KNAUF,,,S/ 3.90,,S/ 8.00
SILICONA CRISTAL 500ML                                                                              ,12,6.36,S/ 7.50,1.61,
SILICONA NEGRO 300ML SIKASIL                                                                        ,12,6.14,S/ 7.25,1.95,S/ 15.00
SILICONA PARA AUTO CHERRY EN SPRAY 360ML SAPOLIO                                                    ,3,6.02,S/ 7.10,1.91,
SILICONA PARA AUTO LAVANDA EN SPRAY 360ML SAPOLIO                                                   ,6,6.02,S/ 7.10,1.91,
SILICONA PARA TABLERO FULDER GLN AROMIX                                                             ,1,23.73,S/ 28.00,7.54,
SILICONA PARA TABLEROS-FRESA X 370ML MARTELL                                                        ,32,4.49,S/ 5.30,1.43,
SILICONA TRANSPARENTE 300ML SIKASIL                                                                 ,0,6.23,S/ 7.36,1.58,S/ 15.00
SILICONA TRANSPARENTE 300ML WEBER                                                                   ,12,6.25,S/ 7.37,1.98,
SILICONA VESTON X 320ML TOLBRIN                                                                     ,6,4.06,S/ 4.79,1.29,
SILICONA WHITE CON AROMA 120ML VISTONY                                                              ,26,3.22,S/ 3.80,1.02,
SILICONA WHITE CON AROMA 300ML VISTONY                                                              ,48,6.21,S/ 7.32,1.97,
SOCKET  P/FLUORESCENTE RECTO EUROLUZ                                                                ,-4,0.00,S/ 0.00,0.00,
SOCKET EMPOTRADO DE LOZA REMSA                                                                      ,-3,0.00,S/ 0.00,0.00,
SOCKET OVAL BTICINO                                                                                 ,-1,0.00,S/ 0.00,0.00,
SOCKET SIMPLE COLGANTE DE LOZA                                                                      ,-1,0.00,S/ 0.00,0.00,
SOCKETE OVALADO                                                                                     ,1,1.69,S/ 2.00,0.54,
SODA CAUSTICA 1KG LOSARO                                                                            ,44,6.60,S/ 9.50,1.80,S/ 12.00
SODA CAUSTICA 1KG. DERQUSA                                                                          ,58,5.32,S/ 9.00,,S/ 12.00
SODA CAUSTICA EN ESCAMAS/GRANULADA 25KG.                                                            ,2,60.25,S/ 71.10,19.53,
SODA CAUSTICA ESCAMAS AL 99% 1KG. MARTELL                                                           ,16,4.20,S/ 4.95,1.33,
SODA CAUSTICA LIQUIDA 1KG. LOSARO                                                                   ,10,5.51,S/ 6.50,1.75,
SOLDIMIX  EXTRAFUERTE                                                                               ,4,4.41,S/ 5.20,1.40,
SOLDIMIX 10 MINUTOS                                                                                 ,6,2.12,S/ 2.50,0.67,
SOLDIMIX CHICO                                                                                      ,-3,0.00,S/ 0.00,0.00,
SPLITTER DIGITAL CATV 2VIAS SCIENTIFIC                                                              ,9,2.71,S/ 5.00,0.86,S/ 7.00
SPLITTER DIGITAL CATV 3VIAS SCIENTIFIC                                                              ,36,3.47,S/ 6.50,1.10,S/ 9.00
SPLITTER DIGITAL CATV 4VIAS SCIENTIFIC                                                              ,25,4.80,S/ 7.50,1.52,S/ 12.00
SPLITTER DIGITAL CATV 6VIAS SCIENTIFIC                                                              ,29,9.83,S/ 15.00,3.12,S/ 20.00
SPLITTER DIGITAL CATV 8VIAS SCIENTIFIC                                                              ,,,S/ 16.00,,S/ 24.00
"STOVE BOLTS C/R C/TUERCA ZINC 5/32"" X 1 1/2""                                                        ",1403,0.04,S/ 0.04,0.01,
"STOVE BOLTS C/R C/TUERCA ZINC 5/32"" X 1 1/4""                                                        ",1099,0.03,S/ 0.04,0.01,
"STOVE BOLTS C/R C/TUERCA ZINC 5/32"" X 1""                                                            ",-200,0.00,S/ 0.07,0.00,
"STOVE BOLTS C/R C/TUERCA ZINC 5/32"" X 1/2""                                                          ",144,0.05,S/ 0.05,0.02,
"STOVE BOLTS C/R C/TUERCA ZINC 5/32"" X 2""                                                            ",932,0.04,S/ 0.05,0.01,
"STOVE BOLTS C/R C/TUERCA ZINC 5/32"" X 3/4""                                                          ",134,0.06,S/ 0.06,0.02,
"STOVE BOLTS C/R C/TUERCA ZINC 3/16"" X 1/2""                                                          ",,,S/ 0.07,,
"STOVE BOLTS C/R C/TUERCA ZINC 3/16"" X 3/4""                                                          ",,,S/ 0.08,,
"STOVE BOLTS C/R C/TUERCA ZINC 3/16"" X 1""                                                          ",,,S/ 0.09,,
"STOVE BOLTS C/R C/TUERCA ZINC 6/32"" X 1 1/2""                                                        ",-10,0.00,S/ 0.00,0.00,
STOVE BOLTS P/TOMA CORRIENTE 6/32 X 1                                                               ,1000,0.02,S/ 0.03,0.01,
"SUMIDERO BRONCE M/TECNIMET DE 2"" FUNGRISA                                                           ",-1,0.00,S/ 0.00,0.00,
"SUMIDERO CROMADO M/TECNIMET DE 2"" FUNGRISA                                                          ",2,2.12,S/ 2.50,0.67,
SUNCHO P/FILTRO DE ACEITE                                                                           ,2,14.02,S/ 16.54,3.68,
TACHUELA P/TAPICERIA Nº 12                                                                          ,6,7.18,S/ 8.47,1.82,
TACHUELA P/TAPICERIA Nº 14                                                                          ,5,8.61,S/ 8.47,2.18,
LLAVE PARA TALADRO,,,S/ 3.00,,
TALADRO PERCUTOR 1/2 500 W TRUPER                                                                   ,6,81.44,S/ 96.10,25.86,
TALADRO PERCUTOR 1/2 600 W TRUPER                                                                   ,2,109.32,S/ 129.00,34.72,
TALADRO PERCUTOR 1/2 700 W TRUPER                                                                   ,3,101.69,S/ 119.99,32.29,
TALCO AMERICANO 1 KG. DERQUSA                                                                       ,59,1.10,S/ 1.29,0.35,
TALCO AMERICANO 1 KG. LOSARO                                                                        ,23,1.14,S/ 1.35,0.36,
TANQUE  COLOR ARENA 1100 LT. ROTOPLAS                                                               ,5,499.42,S/ 690.00,126.44,S/ 710.00
TANQUE  COLOR ARENA 2500 LT. ROTOPLAS                                                               ,3,803.67,"S/ 1,120.00",234.84,
TANQUE COLOR ARENA 750 LT. ROTOPLAS                                                                 ,-2,317.80,S/ 375.00,100.92,
TANQUE COLOR AZUL 1100 LT. ROTOPLAS                                                                 ,2,329.10,S/ 388.33,104.51,
TANQUE COLOR AZUL 600 LT. ROTOPLAS                                                                  ,6,284.75,S/ 435.00,82.86,S/ 480.00
TANQUE COLOR ARENA  600 LT. ROTOPLAS                                                                  ,,,S/ 530.00,,
TANQUE COLOR NEGRO 1100 LT. ROTOPLAS                                                                ,0,0.00,S/ 520.00,0.00,S/ 620.00
TAPA CIEGA RECTANGULAR BLANCA                                                                ,-36,0.00,S/ 0.42,0.00,
"TAPON 1"" C/R HEMBRA NICOLL                                                                          ",-1,0.00,S/ 0.00,0.00,
"TAPON 1"" C/R HEMBRA PAVCO                                                                           ",94,1.08,S/ 1.27,0.34,
"TAPON 1"" C/R MACHO                                                                                  ",-7,0.00,S/ 0.00,0.00,
"TAPON 1"" MACHO F/GALVANIZADO                                                                        ",-7,0.00,S/ 0.00,0.00,
"TAPON 1"" S/R HEMBRA                                                                                 ",-2,0.00,S/ 0.00,0.00,
"TAPON 1"" S/R HEMBRA PAVCO                                                                           ",85,1.25,S/ 1.48,0.40,
"TAPON 1"" S/R HEMBRA PLASTICA                                                                        ",-1,0.00,S/ 0.00,0.00,
"TAPON 1/2"" C/R HEMBRA PAVCO                                                                         ",26,0.75,S/ 0.88,0.24,
"TAPON 1/2"" C/R MACHO PAVCO                                                                          ",281,1.07,S/ 1.26,0.34,
"TAPON 1/2"" C/R MACHO PLASTICA                                                                       ",-6,0.00,S/ 0.00,0.00,
"TAPON 1/2"" HEMBRA CPVC PAVCO                                                                        ",100,0.51,S/ 0.60,0.13,
"TAPON 1/2"" MACHO F/GALVANIZADO                                                                      ",59,0.49,S/ 0.58,0.16,
"TAPON 1/2"" S/R HEMBRA  INYECTOPLAST                                                                             ",-30,0.00,S/ 0.47,0.00,
"TAPON 1/2"" C/R MACHO  INYECTOPLAST                                                                             ",,,S/ 0.47,,
"TAPON 1/2"" S/R HEMBRA PAVCO                                                                         ",285,0.72,S/ 0.85,0.23,
"TAPON 1/2"" S/R HEMBRA PLASTICA                                                                      ",47,0.34,S/ 0.40,0.11,
"TAPON 1/4"" MACHO F/GALVANIZADO                                                                      ",-6,0.00,S/ 0.00,0.00,
"TAPON 2"" AGUA MACHO                                                                                    ",-2,0.00,S/ 4.00,0.00,
"TAPON 3/4"" C/R HEMBRA PAVCO                                                                         ",91,0.87,S/ 1.03,0.28,
"TAPON 3/4"" C/R MACHO NICOLL                                                                         ",-1,0.00,S/ 0.00,0.00,
"TAPON 3/4"" MACHO CPVC PAVCO                                                                         ",100,0.58,S/ 0.68,0.18,
"TAPON 3/4"" S/R HEMBRA                                                                               ",-7,0.00,S/ 0.00,0.00,
"TAPON 3/4"" S/R HEMBRA PAVCO                                                                         ",81,1.00,S/ 1.18,0.32,
"TAPON 4"" DESAGUE                                                                                    ",-6,0.00,S/ 0.00,0.00,
TARUGO BLANCOS PARA VIDRIERIA                                                                       ,88,0.16,S/ 0.19,0.05,
"TARUGO TIPO FISHER 1/4""                                                                             ",975,0.03,S/ 0.04,0.01,
"TARUGO MADERA 1/4""",,,S/ 0.03,,
"TARUGO MADERA 5/16""",,,S/ 0.04,,
"TARUGO MADERA 3/8""",,,S/ 0.04,,
"TARUGO TIPO FISHER 3/8""                                                                             ",864,0.05,S/ 0.05,0.01,
"TARUGO TIPO PVC 1/2""                                                                                ",-7,0.00,S/ 0.00,0.00,
"TARUGO TIPO PVC 1/4"" VERDE                                                                                ",887,0.03,S/ 0.01,0.01,S/ 0.25
"TARUGO TIPO PVC 3/16""                                                                               ",947,0.01,S/ 0.02,0.00,S/ 0.20
"TARUGO TIPO PVC 3/8"" NARANJA                                                                               ",-49,0.00,S/ 0.02,0.00,
"TARUGO TIPO PVC 5/16"" AZUL                                                                              ",854,0.02,S/ 0.02,0.01,S/ 0.30
"TARUGO TIPO PVC 5/8"" NEGRO                                                                          ",96,0.19,S/ 0.37,0.06,
TAZA BABY FRESH BLANCO + ASIENTO TREBOL                                                             ,1,174.14,S/ 205.49,55.30,
TAZA RAPID JET PLUS BONE TREBOL                                                                     ,1,76.27,S/ 90.00,24.22,
TAZA RAPID JET PLUS BLANCO S/ASIENTO TREBOL                                                          ,6,69.38,S/ 114.00,22.03,
TAZA RAPID JET PREMIUM C/ASTO BLANCO TREBOL                                                          ,,,,,
"TECNOPOR EPS 1 1/2""                                                                                  ",109,12.00,S/ 19.00,3.04,
"TECNOPOR EPS 1""                                                                                   ",279,9.51,S/ 12.50,2.41,
"TECNOPOR EPS 1/2""                                                                                    ",-4,0.00,S/ 7.00,0.00,
"TECNOPOR EPS 2""                                                                                      ",,,S/ 26.00,,
"TECNOPOR EPS 2""                                                                                      ",53,16.78,S/ 25.00,4.25,
"TECNOPOR EPS 3/4""                                                                                   ",116,5.18,S/ 9.00,1.64,
"TEE 1 1/2"" C/R AGUA PLASTICA                                                                        ",-3,0.00,S/ 0.00,0.00,
"TEE 1 1/2"" S/R AGUA PLASTICA                                                                        ",45,3.03,S/ 3.58,0.96,
"TEE 1 1/4"" S/R AGUA PLASTICA                                                                        ",-1,0.00,S/ 0.00,0.00,
"TEE 1"" C/R AGUA                                                                                     ",-1,0.00,S/ 0.00,0.00,
"TEE 1"" F/GALVANIZADO                                                                                ",-2,0.00,S/ 0.00,0.00,
"TEE 1"" S/R AGUA                                                                                     ",-2,0.00,S/ 0.00,0.00,
"TEE 1"" S/R AGUA PAVCO                                                                               ",3,2.54,S/ 3.00,0.81,
"TEE 1"" S/R AGUA PLASTICA                                                                            ",-20,0.00,S/ 0.00,0.00,
"TEE 1/2"" BRONCE GROSSO                                                                              ",-2,0.00,S/ 0.00,0.00,
"TEE 3/4"" BRONCE GROSSO                                                                              ",,,S/ 11.00,,
"UNION 3/4"" BRONCE GROSSO                                                                              ",,,S/ 9.00,,
"TEE 1/2"" C/R AGUA NICOLL                                                                            ",71,1.01,S/ 1.19,0.32,
"TEE 1/2"" C/R AGUA PLASTICA                                                                          ",-1,0.00,S/ 0.00,0.00,
"TEE 1/2"" CPVC PAVCO                                                                                 ",100,1.36,S/ 1.60,0.34,
"TEE 1/2"" F/GALVANIZADO                                                                              ",-10,0.00,S/ 0.00,0.00,
"TEE 1/2"" S/R AGUA                                                                                   ",-6,0.00,S/ 0.00,0.00,
"TEE 1/2"" S/R AGUA NICOLL                                                                            ",392,1.51,S/ 1.78,0.43,
"TEE 1/2"" S/R AGUA PAVCO                                                                             ",92,1.60,S/ 1.89,0.41,
"TEE 1/2"" S/R AGUA PLASTICA                                                                          ",269,1.18,S/ 0.90,0.30,S/ 2.00
TEE 2x2 DESAGUE NICOLL                                                                              ,-1,0.00,S/ 0.00,0.00,
TEE 2x2 DESAGUE PAVCO                                                                               ,100,2.01,S/ 2.37,0.51,
TEE 2x2 DESAGUE PLASTICA                                                                            ,-6,1.18,S/ 1.39,0.37,
"TEE 3""  AGUA                                                                                        ",1,15.25,S/ 18.00,4.84,
"TEE 3/4"" C/R AGUA PLASTICA                                                                          ",-1,0.00,S/ 0.00,0.00,
"TEE 3/4"" CPVC                                                                                       ",42,1.36,S/ 1.60,0.43,
"TEE 3/4"" CPVC PAVCO                                                                                 ",25,2.63,S/ 3.10,0.67,
"TEE 3/4"" F/GALVANIZADO                                                                              ",-1,0.00,S/ 0.00,0.00,
"TEE 3/4"" S/R AGUA PAVCO                                                                             ",76,2.88,S/ 3.40,0.73,
"TEE 3/4"" S/R AGUA PLASTICA                                                                          ",-1,0.00,S/ 0.00,0.00,
TEE 3x3 DESAGUE NICOLL                                                                              ,32,3.47,S/ 4.10,1.10,
"TEE 4"" DESAGUE NICOLL                                                                               ",-6,0.00,S/ 0.00,0.00,
TEE 4x2 DESAGUE MATUSITA                                                                            ,-11,0.00,S/ 0.00,0.00,
TEE 4x2 DESAGUE NICOLL                                                                              ,111,5.65,S/ 6.67,1.79,
TEE 4x2 DESAGUE PAVCO                                                                               ,29,4.69,S/ 5.53,1.19,
TEE 4x2 DESAGUE PLASTICA                                                                            ,35,2.69,S/ 3.17,0.85,
TEE 4x4 DESAGUE NICOLL                                                                              ,10,4.85,S/ 5.72,1.54,
TEE 4X4 DESAGUE PAVCO                                                                               ,92,6.74,S/ 7.95,1.71,
TEE 4x4 DESAGUE PLASTICA                                                                            ,27,7.57,S/ 8.93,1.92,
TEE 6x4 ALCANTARILLADO                                                                              ,6,11.86,S/ 14.00,3.77,S/ 35.00
TEE 6x6 ALCANTARILLADO                                                                              ,6,15.25,S/ 18.00,4.84,S/ 50.00
CACHIMBA 2X3X10,,,S/ 29.57,,
TEE DOBLE 4X4 DESAGUE INYECTOPLAST                                                                  ,21,5.59,S/ 6.60,1.78,
TEE SANIT. 2x2 NICOLL                                                                               ,-3,0.00,S/ 0.00,0.00,
TEE SANIT. 2x2 GERFOR                                                                               ,,,S/ 3.33,,
TEE SANIT. 2x2 PAVCO                                                                                ,39,2.37,S/ 2.80,0.60,
TEE SANIT. 4x2 NICOLL                                                                               ,-1,0.00,S/ 0.00,0.00,
TEE SANIT. 4x4 NICOLL                                                                               ,20,12.31,S/ 14.52,3.91,
TEE SANIT. 4x4 PAVCO                                                                                ,46,15.36,S/ 19.90,4.88,
TEE SANIT. 4x4 GERFOR                                                                                ,,,S/ 8.70,,
TEE SANIT. 4x4 PLASTICA                                                                             ,32,6.61,S/ 7.80,2.10,
TEE DE TV CABLE,,,S/ 0.80,,S/ 1.50
TERMA PARA DUCHA LORENZZETTI                                                                        ,8,36.44,S/ 43.00,11.57,
TERMA PARA DUCHA OVNI                                                                               ,5,21.19,S/ 25.00,6.73,
THINER ACRILICO 100% X 1 LT. TAMSA                                                                  ,26,4.21,S/ 7.10,1.34,S/ 9.50
THINER ACRILICO 100% X 3 LT. TAMSA                                                                  ,13,15.50,S/ 20.00,4.30,S/ 25.00
THINNER ACRILICO 1 GLN. ITSA                                                                        ,-10,0.00,S/ 0.00,0.00,
THINNER ACRILICO 1 GLN. JHOMERON                                                                    ,5,10.60,S/ 12.51,3.37,
THINNER ACRILICO 1 GLN. MARTELL                                                                     ,10,11.28,S/ 13.31,3.58,
THINNER ACRILICO 1 LT. JHOMERON                                                                     ,13,5.21,S/ 6.15,1.32,
THINNER ACRILICO 900 ML MARTELL                                                                     ,52,3.60,S/ 4.25,1.14,
THINNER ACRILICO AUTOMOTRIZ 2.7LT. JHOMERON                                                         ,,,S/ 18.50,,
THINNER ACRILICO AUTOMOTRIZ 1 GLN. JHOMERON                                                         ,14,15.31,S/ 20.70,4.29,
THINNER ACRILICO MR-1A 3 LT. LOSARO                                                                 ,7,9.47,S/ 11.17,3.01,
THINNER ACRILICO SD-L 1 LT. DERQUSA                                                                 ,64,4.23,S/ 6.00,1.22,
THINNER ACRILICO SD-L GLN. DERQUSA                                                                  ,17,11.69,S/ 18.50,3.37,
THINNER ACRILICO SS-1000 (DUCO I) 3.00 LT LOSARO                                                    ,16,10.26,S/ 17.50,2.60,
THINNER ACRILICO SS-1000 (DUCO I) 950 ML LOSARO                                                     ,4,3.85,S/ 6.10,0.98,S/ 9.00
THINNER ACRILICO SUPERIOR 1-A 3 LT. LOSARO                                                          ,12,10.42,S/ 12.30,3.31,
"TIJERA C/LATA 10"" KAMASA                                                                            ",2,19.39,S/ 22.88,4.91,
"TIJERA HOJALATERO 10"" PRETUL                                                                        ",5,23.27,S/ 27.46,7.39,
"TIJERA P/PODAR 8"" KAMASA",,,S/ 15.70,,S/ 25.00
TIMBRE DIN DON VERA                                                                                 ,-1,0.00,S/ 25.00,0.00,
TIRABUZÓN (DESATORADOR)                                                                             ,12,1.69,S/ 2.00,0.54,
"TIRAFON 1/2"" x 2 1/2""                                                                               ",100,0.24,S/ 0.28,0.08,
"TIRAFON 1/2"" x 2""                                                                                   ",-24,0.00,S/ 0.00,0.00,
"TIRAFON 1/2"" x 3 1/2""                                                                               ",50,1.08,S/ 1.28,0.34,
"TIRAFON 1/2"" x 4""                                                                                   ",50,1.14,S/ 1.34,0.36,
"TIRAFON 1/4"" x 1 1/2""                                                                               ",1,0.07,S/ 0.17,0.02,
"TIRAFON 1/4"" x 1""                                                                                   ",6,0.05,S/ 0.06,0.02,
"TIRAFON 1/4"" x 2 1/2""                                                                               ",839,0.08,S/ 0.24,0.03,
"TIRAFON 1/4"" x 2""                                                                                   ",1349,0.09,S/ 0.11,0.03,
"TIRAFON 1/4"" x 3 1/2""                                                                               ",182,0.13,S/ 0.15,0.04,
"TIRAFON 1/4"" x 3""                                                                                   ",203,0.20,S/ 0.24,0.06,
"TIRAFON 1/4"" X 5""                                                                                   ",200,0.33,S/ 0.41,0.11,
"TIRAFON 1/4"" X 6""                                                                                   ",100,0.33,S/ 0.39,0.10,
"TIRAFON 3/8"" x 4""                                                                                   ",50,0.59,S/ 0.70,0.19,
"TIRAFON 5/16"" x 1 1/2""                                                                              ",-15,0.00,S/ 0.00,0.00,
"TIRAFON 5/16"" x 4""                                                                                  ",5,0.24,S/ 0.29,0.08,
TIZA X CAJA 50UNID                                                                                             ,-14,0.00,S/ 3.00,0.00,S/ 5.00
TIZA BLANCA                                                                                         ,21,0.85,S/ 1.00,0.27,
TOMA CORRIENTE DOBLE BTICINO                                                                        ,-1,0.00,S/ 13.50,0.00,
TOMA CORRIENTE DOBLE BTICINO IMITACION                                                                       ,,,S/ 9.20,,
TOMA CORRIENTE DOBLE EUROLUZ X CAJA                                                                        ,-1,2.65,S/ 60.00,0.84,
TOMA CORRIENTE SIMPLE EUROLUZ X CAJA                                                                       ,80,2.42,S/ 48.00,0.77,
TOMA CORRIENTE TRIPLE EUROLUZ                                               ,,,S/ 5.00,,
TOMA CORRIENTE SIMPLE TICINO                                                    ,-7,0.00,S/ 8.50,0.00,
RIN 1X3/4,,,S/ 1.70,,S/ 3.50
RIN 3/4 X 1/2,,,S/ 1.40,,S/ 3.50
RIN C/R EXTERNA,,,S/ 1.70,,
TOMA DOBLE DORADO TEOLUX,,,S/ 8.00,,
TOMA DOBLE PLATA TEOLUX,,,S/ 8.00,,
TOMA CORRIENTE TIERRA DOBLE BTICINO                                                                 ,-18,0.00,S/ 0.00,0.00,
TOMA CORRIENTE TIERRA DOBLE EUROLUZCAJA                                                                ,-2,0.00,S/ 95.00,0.00,
TOMA CORRIENTE TRIPLE BTICINO                                                                       ,-3,0.00,S/ 0.00,0.00,
TOMA CORRIENTE TRIPLE ECOLUX                                                                        ,12,1.69,S/ 2.00,0.54,
TOMA CORRIENTE VISIBLE TRIPLE                                                                       ,22,2.12,S/ 2.50,0.67,
TOMA CORRIENTE VISIBLE TRIPLE BTICINO                                                               ,-4,0.00,S/ 10.80,0.00,S/ 17.00
TOMA PARA CABLE COAXIAL ABATRON                                                                     ,24,2.20,S/ 2.60,0.70,
TORNILLO CABEZA WAFER P/BROCA 8X1                                                                   ,495,0.05,S/ 0.06,0.02,
TORNILLO CABEZA WAFER P/BROCA 8X1 1/2                                                               ,500,0.06,S/ 0.07,0.02,
TORNILLO CABEZA WAFER P/BROCA 8X2                                                                   ,500,0.07,S/ 0.09,0.02,
TORNILLO CABEZA WAFER P/BROCA 8X3/4                                                                 ,500,0.05,S/ 0.06,0.01,
TORNILLO DRYWALL PUNTA FINA NEGRO 6X1                                                               ,1000,0.02,S/ 0.03,0.01,
TORNILLO DRYWALL PUNTA FINA NEGRO 6X1 1/2                                                           ,1000,0.04,S/ 0.05,0.01,
TORNILLO SHIPBOARD T/SPACK 3.00 X 25                                                               ,,,S/ 0.04,,
TORNILLO SHIPBOARD T/SPACK 3.50 X 16                                                                ,753,0.01,S/ 0.01,0.00,
TORNILLO SHIPBOARD T/SPACK 3.50 X 20                                                                ,1699,0.02,S/ 0.03,0.01,
TORNILLO SHIPBOARD T/SPACK 3.50 X 25                                                                ,1886,0.02,S/ 0.03,0.01,
TORNILLO SHIPBOARD T/SPACK 3.50 X 30                                                                ,793,0.01,S/ 0.02,0.00,
TORNILLO SHIPBOARD T/SPACK 3.50 X 35                                                                ,987,0.02,S/ 0.02,0.01,
TORNILLO SHIPBOARD T/SPACK 3.50 X 40                                                                ,782,0.02,S/ 0.02,0.01,
TORNILLO SHIPBOARD T/SPACK 3.50 X 45                                                                ,996,0.02,S/ 0.03,0.01,
TORNILLO SHIPBOARD T/SPACK 3.50 X 50                                                                ,951,0.02,S/ 0.03,0.01,
TORNILLO SHIPBOARD T/SPACK 4.00 X 16                                                                ,936,0.01,S/ 0.01,0.00,
TORNILLO SHIPBOARD T/SPACK 4.00 X 20                                                                ,1410,0.01,S/ 0.02,0.00,
TORNILLO SHIPBOARD T/SPACK 4.00 X 25                                                                ,1514,0.02,S/ 0.02,0.00,
TORNILLO SHIPBOARD T/SPACK 4.00 X 30 TROPICAL . FINA                                                ,952,0.01,S/ 0.02,0.00,
TORNILLO SHIPBOARD T/SPACK 4.00 X 35                                                                ,813,0.02,S/ 0.02,0.01,
TORNILLO SHIPBOARD T/SPACK 4.00 X 40                                                                ,1819,0.03,S/ 0.05,0.01,
TORNILLO SHIPBOARD T/SPACK 4.00 X 45                                                                ,894,0.03,S/ 0.03,0.01,
TORNILLO SHIPBOARD T/SPACK 4.00 X 50                                                                ,1730,0.05,S/ 0.06,0.01,
TORNILLO SHIPBOARD T/SPACK 4.00 X 60 TROPICAL P. FINA                                               ,920,0.03,S/ 0.03,0.01,
TORNILLO SHIPBOARD T/SPACK 4.50 X 20                                                                ,451,0.02,S/ 0.03,0.01,
TORNILLO SHIPBOARD T/SPACK 4.50 X 25                                                                ,904,0.02,S/ 0.02,0.01,
TORNILLO SHIPBOARD T/SPACK 4.50 X 70                                                                ,818,0.05,S/ 0.11,0.01,
TORNILLO SHIPBOARD T/SPACK 4.50 X 50                                                                ,,,S/ 0.09,,
TORNILLO SHIPBOARD T/SPACK 4.50 X 80                                                                ,837,0.05,S/ 0.06,0.02,
TORNILLO SHIPBOARD T/SPACK 5.00 X 60                                                                ,448,0.08,S/ 0.09,0.02,
TORNILLO SHIPBOARD T/SPACK 5.00 X 70                                                                ,500,0.09,S/ 0.11,0.03,
TORNILLO SHIPBOARD T/SPACK 5.00 X 80                                                                ,1000,0.11,S/ 0.13,5.52,
TORNILLO SHIPBOARD T/SPACK M-4 X 60                                                                 ,100,0.03,S/ 0.04,0.01,
TORNILLO SHIPBOARD T/SPACK M-4 X 70                                                                 ,100,0.03,S/ 0.04,0.01,
TORNILLO SHIPBOARD T/SPACK M-5 x 30                                                                 ,100,0.03,S/ 0.03,0.01,
TORNILLO SHIPBOARD T/SPACK M-5 x 35                                                                 ,100,0.03,S/ 0.03,0.01,
TORNILLO SHIPBOARD T/SPACK M-5 X 40                                                                 ,100,0.03,S/ 0.04,0.01,
TORNILLO SHIPBOARD T/SPACK M-6 X 90                                                          ,,,S/ 0.28,,
TORNILLO SHIPBOARD T/SPACK M-6 X 100                                                          ,,,S/ 0.33,,
TORNILLO SHIPBOARD T/SPACK M-8 X 20                                                                 ,,,S/ 0.20,,
TORNILLO SHIPBOARD T/SPACK M-8 X 25                                                                 ,,,S/ 0.20,,
TORNILLO SHIPBOARD T/SPACK M-8 X 30                                                                 ,,,S/ 0.22,,
TORNILLO SHIPBOARD T/SPACK M-8 X 40                                                                 ,,,S/ 0.25,,
"TORTOL FIERRO 3/8"" LISO                                                                             ",-3,0.00,S/ 2.00,0.00,S/ 4.00
TRAMPA LIDER LAVATORIO COMPLETO FAVINSA                                                                             ,-4,0.00,S/ 6.50,0.00,S/ 12.00
TRAMPA LIDER LAVATORIO  VAINSA                                                                             ,,,S/ 55.00,,
TRAMPA LIDER LAVATORIO SOLO  FAVINSA                                                                             ,,,S/ 4.50,,
TRAMPA LIDER LAVATORIO  LOGAREX                                                                             ,,,S/ 5.00,,
TARRAJA 1/2 PARA TUBO PVC,,,S/ 19.00,,S/ 26.00
LAVADERO INOXIDABLE RECORD,,,S/ 190.00,,
LAVADERO 1.2MT,,,S/ 115.00,,
LAVADERP 1MT,,,S/ 95.00,,
TRAMPA DESAGUE RECORD,,,S/ 10.00,,
TRAMPA LIDER LAVADERO  FAVINSA                                                                             ,5,3.81,S/ 4.50,0.97,S/ 12.00
"TRAMPA PARA DESAGUE 1"" X 1/4"" RECORD                                                                ",-1,0.00,S/ 0.00,0.00,
TRANSFORMADOR DE OXIDO GLN.CHEMA                                                                    ,21,29.28,S/ 36.90,9.30,
TRANSFORMADOR DE OXIDO LT CHEMA                                                                     ,10,0.00,S/ 0.00,0.00,
TRANSFORMADOR PHILIPS                                                                               ,-6,0.00,S/ 0.00,0.00,
TRAPEADOR DE FELPA C/OJAL                                                                           ,5,4.12,S/ 4.86,1.31,
TRAPEADOR DE YUTE                                                                                   ,10,1.13,S/ 1.33,0.36,
TRAPEADOR LORITO ALGODON (MOPA) 250G                                                                ,2,6.03,S/ 7.12,1.92,
TRAPEADOR MICROFIBRA                                                                                ,11,2.82,S/ 4.00,0.90,
TRAPEADOR GRIS C/OJAL,-1,0.00,S/ 1.70,0.00,S/ 5.00
TRAPEADOR COLORES C/OJAL,,,S/ 2.10,,S/ 7.00
TRAPEADOR TWIST,,,S/ 17.60,,
TRAPO INDUSTRIAL COLORES                                                                            ,-7.5,2.90,S/ 3.50,0.74,S/ 6.00
TRIPLAY 3.2 MM CARIPURI                                                                             ,61,21.81,S/ 28.50,6.93,
TRIPLAY 3.8 MM CARIPURI                                                                             ,,,S/ 30.00,,
TRIPLAY 4 MM ALBAÑIL                                                                                ,70,20.06,S/ 23.67,6.37,
TRIPLAY 4 MM BITANGOR                                                                              ,-3,0.00,S/ 31.50,0.00,
TRIPLAY 4 MM TRIMASA                                                                                ,99,25.60,S/ 33.50,6.48,
